Artifact,,Keyword completeness (0-4),,,,,Code Samples (0/0.5/1),Stack Traces (0/0.5/1),Patches (0/1),Readability(Before Normalization),Readability(0-2),Structure (0/1),TOTAL(10),
,,Environment related(Not counted),Expected behaviors(0/1),Observed behaviors(0/1),Triggering Input(0/1),Step to reproduce(0/1),,,,,,,,Extra Note
joyent-java-manta-171298452,Gemini Simple Prompt,1,1,1,0,1,0.5,0,1,45.66,1.5,1,7,
,Gemini Smart Prompt,0,1,1,1,1,1,0.5,1,48.9,1.5,1,9,
,OpenAI Simple Prompt,1,0,1,0,0,0.5,0,1,42.73,1.5,1,5,
,OpenAI Smart Prompt,0,1,1,1,1,1,1,1,35.57,1,1,9,
checkstyle-checkstyle-72232420,Gemini Simple Prompt,1,1,1,0,1,0,0,1,60.04,2,1,7,
,Gemini Smart Prompt,0,1,1,1,1,1,1,1,56.92,2,1,10,
,OpenAI Simple Prompt,1,0,1,0,0,0,1,1,63.73,2,1,6,
,OpenAI Smart Prompt,0,1,1,1,1,1,1,1,56.39,2,1,10,
Wikidata-Wikidata-Toolkit-586433374,Gemini Simple Prompt,1,1,1,0,1,1,0,1,64.88,2,1,8,
,Gemini Smart Prompt,0,1,1,1,1,1,0.5,1,23.9,1,1,8.5,"Note: Patch is not fix of the bug, its just replace the failed asserstion, Gemini able to tell that"
,OpenAI Simple Prompt,1,0,1,0,1,0,0,1,42.43,1.5,1,5.5,
,OpenAI Smart Prompt,0,1,1,1,1,1,0.5,1,43.49,1.5,1,9,
joyent-java-manta-171009588,Gemini Simple Prompt,1,1,1,0,1,0,0,1,56.14,2,1,7,
,Gemini Smart Prompt,0,1,1,1,1,0.5,1,1,49.63,1.5,1,9,
,OpenAI Simple Prompt,1,1,1,0,1,0,0,1,39.66,1.5,1,6.5,
,OpenAI Smart Prompt,0,1,1,1,1,1,1,1,35.48,1,1,9,
joyent-java-manta-92612302,Gemini Simple Prompt,1,1,1,0,1,0,0,0,53.2,1.5,1,5.5,
,Gemini Smart Prompt,0,1,1,1,1,1,1,1,45.21,1.5,1,9.5,
,OpenAI Simple Prompt,1,0,1,0,1,0,0,1,39.37,1.5,1,5.5,
,OpenAI Smart Prompt,0,1,1,0,1,1,1,1,31.64,1,1,8,
raphw-byte-buddy-185233250,Gemini Simple Prompt,1,1,1,0,1,1,0,1,48.44,1.5,1,7.5,
,Gemini Smart Prompt,0,1,1,1,1,1,0.5,1,54.45,2,1,9.5,
,OpenAI Simple Prompt,1,0,1,0,0,0,0,1,37.71,1.5,1,4.5,
,OpenAI Smart Prompt,0,1,1,1,1,1,0.5,1,35.29,1,1,8.5,
GoClipse-goclipse-105744418,Gemini Simple Prompt,1,1,1,0,1,0,0,1,37.29,1.5,1,6.5,
,Gemini Smart Prompt,0,1,1,1,1,1,1,1,6.06,0.5,1,8.5,
,OpenAI Simple Prompt,1,1,1,0,1,1,0,1,17.97,0.5,1,6.5,
,OpenAI Smart Prompt,0,1,1,1,1,1,0,1,7.91,0.5,1,7.5,
psi-probe-psi-probe-18814568168,Gemini Simple Prompt,1,1,1,0,1,0,0,0,36.6,1,1,5,"Patch just said disable the failed test, diff from code diff"
,Gemini Smart Prompt,0,1,1,1,1,1,0.5,1,22.38,1,1,8.5,
,OpenAI Simple Prompt,1,0,1,0,0,0,0,1,51.3,1.5,1,4.5,
,OpenAI Smart Prompt,0,1,1,1,1,1,1,1,42.55,1.5,1,9.5,
alibaba-druid-24586074804,Gemini Simple Prompt,1,1,1,0,1,0,0,0,61.38,2,1,6,Short report; create its own patch
,Gemini Smart Prompt,0,1,1,1,1,1,1,1,58.12,2,1,10,
,OpenAI Simple Prompt,0,0,1,0,1,0,0,1,58.47,2,1,6,
,OpenAI Smart Prompt,0,1,1,1,1,1,1,1,53.77,2,1,10,"openai usully explain the patch in word, while gemini shows the code"
raphw-byte-buddy-142690267,Gemini Simple Prompt,1,1,1,0,1,1,0.5,1,55.67,2,1,8.5,
,Gemini Smart Prompt,0,1,1,1,1,1,1,1,63.64,2,1,10,
,OpenAI Simple Prompt,1,0,1,1,1,1,0.5,1,44.72,1.5,1,8,
,OpenAI Smart Prompt,0,1,1,1,1,1,1,1,41.92,1.5,1,9.5,
sannies-mp4parser-110354895,Gemini Simple Prompt,1,1,1,1,1,1,0,1,58.3,2,1,9,
,Gemini Smart Prompt,0,1,1,1,1,1,1,1,63.4,2,1,10,
,OpenAI Simple Prompt,0,0,1,1,1,0.5,1,1,44.17,1.5,1,8,
,OpenAI Smart Prompt,0,1,1,1,1,1,1,1,45.61,1.5,1,9.5,
tananaev-traccar-222703226,Gemini Simple Prompt,1,1,1,1,1,0.5,1,1,57.11,2,1,9.5,
,Gemini Smart Prompt,0,1,1,1,1,0.5,1,1,60.56,2,1,9.5,
,OpenAI Simple Prompt,1,1,1,1,1,0,1,1,52.74,1.5,1,8.5,
,OpenAI Smart Prompt,0,1,1,1,1,1,1,1,46.59,1.5,1,9.5,
square-javapoet-69618779,Gemini Simple Prompt,1,0,0,1,1,1,1,1,59.32,2,1,8,"original code has bug, the programmer add @ignore to skip the failed test, but GEMINI misunderstand the build log (since the bug is not actually fixed, so in the generated bug report, it made mistake in simple version."
,Gemini Smart Prompt,0,1,1,1,1,1,0.5,1,30.52,1,1,8.5,
,OpenAI Simple Prompt,1,1,1,1,0,0,1,0,50.63,1.5,1,6.5,
,OpenAI Smart Prompt,0,1,1,1,1,1,1,1,52.06,1.5,1,9.5,
owlcs-owlapi-101183825,Gemini Simple Prompt,0,1,1,1,1,0,0,1,-13.06,0,1,6,
,Gemini Smart Prompt,0,1,1,1,1,1,1,1,-4.69,0,1,8,
,OpenAI Simple Prompt,1,1,1,1,1,0.5,0,1,13.77,0.5,1,7,
,OpenAI Smart Prompt,0,1,1,1,1,1,1,1,5.94,0.5,1,8.5,
springwolf-springwolf-core-39184414362,Gemini Simple Prompt,1,1,1,1,1,0,1,1,33.53,1,1,8,
,Gemini Smart Prompt,0,1,1,1,1,1,1,1,15.23,0.5,1,8.5,
,OpenAI Simple Prompt,0,0,1,1,1,0,1,1,30.6,1,1,7,
,OpenAI Smart Prompt,0,1,1,1,1,0,1,1,-0.27,0,1,7,
square-okio-53590049,Gemini Simple Prompt,1,1,1,1,1,1,1,1,61.5,2,1,10,
,Gemini Smart Prompt,0,1,1,1,1,1,1,1,68.45,2,1,10,
,OpenAI Simple Prompt,1,0,1,1,0,0.5,1,1,52.12,1.5,1,7,
,OpenAI Smart Prompt,0,1,1,1,1,0.5,1,1,55.64,2,1,9.5,
pgjdbc-pgjdbc-343084227,Gemini Simple Prompt,1,1,1,1,1,1,1,1,30.96,1,1,9,
,Gemini Smart Prompt,0,1,1,1,1,1,1,1,22.18,1,1,9,
,OpenAI Simple Prompt,1,0,1,1,0,0,0,1,27.4,1,1,5,
,OpenAI Smart Prompt,0,1,1,1,1,1,0,1,18.36,0.5,1,7.5,
raphw-byte-buddy-149688523,Gemini Simple Prompt,1,1,1,1,1,1,1,1,64.41,2,1,10,
,Gemini Smart Prompt,0,1,1,1,1,1,1,1,56.58,2,1,10,
,OpenAI Simple Prompt,1,0,1,1,0,1,1,1,59.18,2,1,8,
,OpenAI Smart Prompt,0,1,1,1,1,1,1,1,56.62,2,1,10,
swagger-api-swagger-core-390509591,Gemini Simple Prompt,1,1,1,1,1,0,1,0,53.8,2,1,8,
,Gemini Smart Prompt,0,1,1,1,1,1,1,1,22.12,1,1,9,
,OpenAI Simple Prompt,1,0,1,1,0,0,1,1,35.28,1,1,6,
,OpenAI Smart Prompt,0,1,1,0,1,0,1,1,40.69,1.5,1,7.5,wrong triggering input
joyent-java-manta-170937798,Gemini Simple Prompt,1,1,1,1,1,0,1,0,53.91,2,1,8,
,Gemini Smart Prompt,0,1,1,1,1,0,1,1,60.93,2,1,9,
,OpenAI Simple Prompt,1,0,1,1,0,0,1,1,42.29,1.5,1,6.5,
,OpenAI Smart Prompt,0,1,1,1,1,1,1,1,35.65,1,1,9,
joyent-java-manta-171009591,Gemini Simple Prompt,1,1,1,0,1,0,0,0,58.28,2,1,6,
,Gemini Smart Prompt,0,1,1,1,1,0,1,1,53.28,1.5,1,8.5,
,OpenAI Simple Prompt,0,1,1,1,1,0,0,1,52.93,1.5,1,7.5,
,OpenAI Smart Prompt,0,1,1,1,1,1,1,1,42.19,1.5,1,9.5,
apache-servicecomb-java-chassis-9220678186,Gemini Simple Prompt,1,1,1,0,1,1,1,1,36.83,1.5,1,8.5,
,Gemini Smart Prompt,0,1,1,1,1,1,1,1,23.66,1,1,9,
